Time,CH 1 MOSI,CH 2 MISO,CH 3 SCLK,CH 4 CS
0.000000000,0,1,0,1
0.800002000,1,1,0,1
0.800158000,1,1,1,1
0.800208000,1,1,0,1
0.800260000,1,1,1,1
0.800310000,1,1,0,1
0.800362000,1,1,1,1
0.800414000,1,1,0,1
0.800464000,1,1,1,1
0.800516000,1,1,0,1
0.800566000,1,1,1,1
0.800618000,1,1,0,1
0.800670000,1,1,1,1
0.800720000,1,1,0,1
0.800772000,1,1,1,1
0.800822000,1,1,0,1
0.800874000,1,1,1,1
0.800926000,0,1,0,1
0.801202000,1,1,0,1
0.801356000,1,1,1,1
0.801408000,1,1,0,1
0.801458000,1,1,1,1
0.801510000,1,1,0,1
0.801562000,1,1,1,1
0.801612000,1,1,0,1
0.801664000,1,1,1,1
0.801714000,1,1,0,1
0.801766000,1,1,1,1
0.801818000,1,1,0,1
0.801868000,1,1,1,1
0.801920000,1,1,0,1
0.801970000,1,1,1,1
0.802022000,1,1,0,1
0.802074000,1,1,1,1
0.802124000,0,1,0,1
0.802490000,1,1,0,1
0.802644000,1,1,1,1
0.802696000,1,1,0,1
0.802748000,1,1,1,1
0.802798000,1,1,0,1
0.802850000,1,1,1,1
0.802900000,1,1,0,1
0.802952000,1,1,1,1
0.803004000,1,1,0,1
0.803054000,1,1,1,1
0.803106000,1,1,0,1
0.803156000,1,1,1,1
0.803208000,1,1,0,1
0.803260000,1,1,1,1
0.803310000,1,1,0,1
0.803362000,1,1,1,1
0.803412000,0,1,0,1
0.803688000,1,1,0,1
0.803844000,1,1,1,1
0.803894000,1,1,0,1
0.803946000,1,1,1,1
0.803996000,1,1,0,1
0.804048000,1,1,1,1
0.804100000,1,1,0,1
0.804150000,1,1,1,1
0.804202000,1,1,0,1
0.804252000,1,1,1,1
0.804304000,1,1,0,1
0.804356000,1,1,1,1
0.804406000,1,1,0,1
0.804458000,1,1,1,1
0.804508000,1,1,0,1
0.804560000,1,1,1,1
0.804612000,1,1,0,1
0.805170000,1,1,1,1
0.805222000,1,1,0,1
0.805272000,1,1,1,1
0.805324000,1,1,0,1
0.805374000,1,1,1,1
0.805426000,1,1,0,1
0.805478000,1,1,1,1
0.805528000,1,1,0,1
0.805580000,1,1,1,1
0.805630000,1,1,0,1
0.805682000,1,1,1,1
0.805734000,1,1,0,1
0.805784000,1,1,1,1
0.805836000,1,1,0,1
0.805886000,1,1,1,1
0.805938000,1,1,0,1
0.806374000,1,1,1,1
0.806426000,1,1,0,1
0.806476000,1,1,1,1
0.806528000,1,1,0,1
0.806580000,1,1,1,1
0.806630000,1,1,0,1
0.806682000,1,1,1,1
0.806732000,1,1,0,1
0.806784000,1,1,1,1
0.806836000,1,1,0,1
0.806886000,1,1,1,1
0.806938000,1,1,0,1
0.806988000,1,1,1,1
0.807040000,1,1,0,1
0.807092000,1,1,1,1
0.807142000,1,1,0,1
0.807602000,1,1,1,1
0.807654000,1,1,0,1
0.807704000,1,1,1,1
0.807756000,1,1,0,1
0.807806000,1,1,1,1
0.807858000,1,1,0,1
0.807910000,1,1,1,1
0.807960000,1,1,0,1
0.808012000,1,1,1,1
0.808062000,1,1,0,1
0.808114000,1,1,1,1
0.808166000,1,1,0,1
0.808216000,1,1,1,1
0.808268000,1,1,0,1
0.808318000,1,1,1,1
0.808370000,1,1,0,1
0.808792000,1,1,1,1
0.808842000,1,1,0,1
0.808894000,1,1,1,1
0.808944000,1,1,0,1
0.808996000,1,1,1,1
0.809048000,1,1,0,1
0.809098000,1,1,1,1
0.809150000,1,1,0,1
0.809200000,1,1,1,1
0.809252000,1,1,0,1
0.809304000,1,1,1,1
0.809354000,1,1,0,1
0.809406000,1,1,1,1
0.809456000,1,1,0,1
0.809508000,1,1,1,1
0.809560000,1,1,0,1
0.810106000,1,1,1,1
0.810158000,1,1,0,1
0.810210000,1,1,1,1
0.810260000,1,1,0,1
0.810312000,1,1,1,1
0.810362000,1,1,0,1
0.810414000,1,1,1,1
0.810466000,1,1,0,1
0.810516000,1,1,1,1
0.810568000,1,1,0,1
0.810618000,1,1,1,1
0.810670000,1,1,0,1
0.810722000,1,1,1,1
0.810772000,1,1,0,1
0.810824000,1,1,1,1
0.810874000,1,1,0,1
0.811420000,1,1,1,1
0.811472000,1,1,0,1
0.811524000,1,1,1,1
0.811574000,1,1,0,1
0.811626000,1,1,1,1
0.811676000,1,1,0,1
0.811728000,1,1,1,1
0.811780000,1,1,0,1
0.811830000,1,1,1,1
0.811882000,1,1,0,1
0.811932000,1,1,1,1
